Time (ms),Accelerometer,Gyroscope,Angle
6896,34.47,103.11,42.64
6900,34.47,103.82,42.47
6903,33.57,103.82,42.3
6906,33.57,103.82,42.12
6909,31.79,96.11,41.91
6912,30.0,96.11,41.68
6915,30.0,96.11,41.44
6918,30.22,86.04,41.22
6921,30.22,86.04,41.0
6924,29.78,86.04,40.77
6927,29.55,79.45,40.55
6930,29.55,79.45,40.33
6933,30.0,79.45,40.12
6937,30.0,79.53,39.92
6940,31.56,79.53,39.75
6943,32.23,79.53,39.6
6946,32.23,84.67,39.46
6949,32.23,84.67,39.31
6952,32.23,84.67,39.17
6955,31.56,91.68,39.02
6958,30.22,91.68,38.84
6961,30.22,91.68,38.67
6964,30.45,97.41,38.5
6967,30.45,97.41,38.34
6970,30.0,97.41,38.18
6973,30.0,100.62,38.01
6977,30.0,100.62,37.85
6980,28.43,100.62,37.66
6983,28.43,102.33,37.48
6987,26.65,102.33,37.26
6989,25.08,102.33,37.02
6992,25.08,103.85,36.78
6996,24.19,103.85,36.53
6999,24.19,103.85,36.28
7002,23.97,105.25,36.04
7005,22.85,105.25,35.77
7008,22.85,105.25,35.51
7011,21.73,107.83,35.24
7014,20.84,107.83,34.95
7019,20.84,107.83,34.67
7021,20.39,111.28,34.38
7024,20.39,111.28,34.1
7027,21.95,111.28,33.86
7030,22.18,115.16,33.63
7034,22.18,115.16,33.4
7038,23.07,115.16,33.19
7042,23.07,119.51,32.99
7043,22.62,119.51,32.78
7046,21.95,119.51,32.56
7051,21.95,124.05,32.35
7052,20.84,124.05,32.12
7057,20.17,124.05,31.88
7058,20.17,128.16,31.65
7061,18.6,128.16,31.39
7065,18.6,128.16,31.13
7068,17.71,130.72,30.86
7072,16.14,130.72,30.57
7074,16.14,130.72,30.28
7078,16.14,131.43,30.0
7083,16.14,131.43,29.72
7083,15.47,131.43,29.44
7087,14.58,131.45,29.14
7090,14.58,131.45,28.85
7093,14.36,131.45,28.56
7096,14.13,130.34,28.27
7099,14.13,130.34,27.99
7102,13.24,127.08,27.69
7106,13.24,127.08,27.4
7109,14.13,127.08,27.14
7112,15.7,122.96,26.91
7116,15.7,122.96,26.68
7118,16.14,122.96,26.47
7122,17.04,118.97,26.28
7125,16.81,118.97,26.09
7127,15.92,118.97,25.89
7131,15.92,114.97,25.69
7135,15.03,114.97,25.48
7137,13.69,114.97,25.24
7140,13.69,108.47,25.01
7144,12.12,108.47,24.75
7147,12.12,108.47,24.5
7150,10.33,97.43,24.22
7153,6.54,97.43,23.86
7156,6.54,97.43,23.52
7158,4.97,83.93,23.15
7162,4.97,83.93,22.78
7165,4.75,83.93,22.42
7168,5.64,71.47,22.09
7171,5.64,71.47,21.76
7173,6.31,71.47,21.45
7176,6.31,64.0,21.15
7179,6.54,64.0,20.85
7182,6.54,64.0,20.57
7185,6.76,64.0,20.29
7189,6.31,63.19,20.01
7191,6.31,63.19,19.74
7195,4.3,63.19,19.43
7197,4.3,66.07,19.13
7201,3.41,66.07,18.81
7203,3.41,66.07,18.5
7206,3.63,67.85,18.21
7209,4.08,67.85,17.92
7212,4.08,67.85,17.65
7215,4.52,67.11,17.39
7218,4.52,67.11,17.13
7222,4.3,67.11,16.87
7223,2.51,64.95,16.58
7226,2.74,64.95,16.31
7230,2.29,64.95,16.03
7233,2.29,61.34,15.75
7235,0.95,61.34,15.46
7238,0.95,61.34,15.17
7241,0.28,55.76,14.87
7244,0.28,55.76,14.58
7247,0.5,55.76,14.29
7251,0.95,55.76,14.03
7253,0.95,49.77,13.77
7256,0.95,49.77,13.51
7259,0.95,49.77,13.26
7262,0.28,45.4,13.0
7265,-1.06,45.4,12.72
7268,-1.06,45.4,12.44
7272,-1.96,41.6,12.15
7275,-1.96,41.6,11.87
7277,-2.18,41.6,11.59
7280,-1.28,37.62,11.33
7283,-1.28,37.62,11.08
7287,-0.39,37.62,10.85
7290,-0.39,33.52,10.63
7293,-0.17,33.52,10.41
7296,-0.17,33.52,10.2
7299,0.06,30.84,10.0
7301,0.28,30.84,9.8
7304,0.28,30.84,9.61
7307,0.5,28.8,9.43
7310,0.5,28.8,9.25
7314,-0.17,28.8,9.06
7316,-0.17,26.36,8.88
7319,-1.96,26.36,8.66
7322,-2.18,26.36,8.44
7325,-2.18,22.58,8.23
7328,-3.3,22.58,8.0
7331,-3.3,22.58,7.78
7334,-3.07,22.58,7.56
7337,-4.86,18.8,7.31
7339,-4.64,18.8,7.07
7342,-5.75,18.8,6.82
7345,-5.75,15.91,6.56
7348,-6.2,15.91,6.31
7351,-6.2,15.91,6.06
7355,-5.31,15.92,5.83
7357,-4.41,15.92,5.63
7360,-4.86,15.92,5.42
7363,-4.41,20.2,5.22
7366,-4.41,20.2,5.03
7370,-5.08,20.2,4.82
7372,-5.08,28.16,4.63
7375,-5.75,28.16,4.42
7377,-6.65,28.16,4.2
7380,-6.65,37.15,3.98
7384,-7.99,37.15,3.74
7387,-7.99,37.15,3.51
7390,-7.99,45.46,3.28
7392,-7.99,45.46,3.05
7395,-8.44,45.46,2.82
7398,-8.44,45.46,2.6
7401,-8.21,54.55,2.38
7404,-8.66,54.55,2.16
7407,-8.66,54.55,1.94
7410,-7.54,66.02,1.75
7413,-7.54,66.02,1.57
7416,-7.54,66.02,1.39
7419,-7.54,79.75,1.21
7422,-7.32,79.75,1.04
7425,-7.99,79.75,0.86
7428,-7.99,93.95,0.68
7431,-8.21,93.95,0.5
7434,-8.21,93.95,0.33
7437,-9.33,105.11,0.13
7440,-9.33,105.11,-0.06
7443,-9.55,105.11,-0.25
7446,-10.22,112.96,-0.44
7450,-10.22,112.96,-0.64
7452,-10.67,112.96,-0.84
7456,-11.34,118.39,-1.05
7459,-11.34,118.39,-1.26
7463,-11.56,118.39,-1.46
7466,-12.46,123.24,-1.68
7469,-12.9,123.24,-1.91
7472,-13.8,123.24,-2.15
7476,-13.8,129.68,-2.38
7479,-15.14,129.68,-2.63
7481,-15.81,129.68,-2.9
7485,-15.81,138.01,-3.16
7488,-15.59,138.01,-3.4
7491,-14.69,138.01,-3.63
7495,-14.92,149.43,-3.86
7498,-15.36,149.43,-4.09
7501,-15.36,149.43,-4.31
7505,-14.02,165.02,-4.51
7508,-13.8,165.02,-4.69
7511,-13.8,181.75,-4.87
7514,-13.8,181.75,-5.05
7517,-12.9,181.75,-5.21
7521,-13.13,194.93,-5.37
7524,-12.9,194.93,-5.52
7527,-12.9,194.93,-5.67
7530,-14.69,203.16,-5.85
7533,-15.59,203.16,-6.04
7537,-15.59,203.16,-6.23
7540,-17.6,207.18,-6.46
7543,-19.16,207.18,-6.71
7546,-19.16,207.18,-6.96
7549,-20.5,207.15,-7.23
7552,-20.5,207.15,-7.5
7557,-22.07,207.15,-7.79
7559,-23.41,203.46,-8.1
7562,-23.41,203.46,-8.41
7566,-24.75,203.46,-8.73
7569,-26.31,195.87,-9.09
7572,-26.31,195.87,-9.43
7575,-26.98,186.19,-9.78
7578,-26.98,186.19,-10.13
7582,-27.21,186.19,-10.47
7585,-28.1,177.22,-10.82
7588,-28.1,177.22,-11.17
7592,-28.1,177.22,-11.5
7595,-27.43,169.74,-11.82
7598,-27.43,169.74,-12.13
7602,-28.77,169.74,-12.47
7605,-30.78,164.84,-12.83
7609,-30.78,164.84,-13.19
7612,-31.0,164.84,-13.55
7615,-31.45,160.98,-13.91
7618,-31.45,160.98,-14.26
7622,-33.69,159.02,-14.65
7626,-34.13,159.02,-15.04
7628,-34.13,159.02,-15.42
7632,-33.91,159.4,-15.79
7635,-33.02,159.4,-16.13
7638,-33.24,159.4,-16.47
7643,-32.79,162.69,-16.8
7645,-32.79,162.69,-17.12
7648,-33.91,162.69,-17.46
7652,-35.03,166.54,-17.81
7655,-35.03,166.54,-18.15
7659,-36.14,166.54,-18.51
7662,-37.04,165.89,-18.88
7665,-37.04,165.89,-19.25
7668,-38.83,163.12,-19.64
7672,-40.84,163.12,-20.06
7675,-40.84,163.12,-20.48
7678,-41.28,159.63,-20.89
7682,-40.39,159.63,-21.28
7685,-40.39,159.63,-21.67
7688,-39.5,155.87,-22.02
7692,-39.5,155.87,-22.37
7695,-39.5,155.87,-22.71
7698,-39.72,154.31,-23.05
7702,-38.83,154.31,-23.37
7705,-38.38,154.24,-23.67
7709,-39.27,154.24,-23.98
7712,-39.27,154.24,-24.29
7715,-40.61,152.07,-24.61
7718,-41.51,152.07,-24.95
7722,-41.51,152.07,-25.28
7725,-41.95,146.68,-25.62
7728,-42.62,146.68,-25.96
7732,-42.62,146.68,-26.29
7735,-43.52,138.27,-26.63
7739,-44.41,138.27,-26.99
7742,-44.41,138.27,-27.34
7745,-45.08,129.15,-27.69
7748,-45.08,129.15,-28.04
7752,-45.08,120.81,-28.38
7756,-44.86,120.81,-28.71
7758,-44.86,120.81,-29.03
7762,-45.08,114.29,-29.36
7765,-45.08,114.29,-29.67
7768,-45.08,114.29,-29.98
7772,-44.86,112.32,-30.28
7775,-45.31,112.32,-30.58
7778,-45.31,112.32,-30.87
7782,-44.41,112.59,-31.14
7785,-42.85,112.59,-31.38
7788,-42.85,112.61,-31.6
7792,-41.73,112.61,-31.81
7795,-41.06,112.61,-31.99
7798,-41.06,108.82,-32.17
7802,-42.85,108.82,-32.39
7805,-43.52,108.82,-32.61
7808,-43.52,98.57,-32.83
7811,-43.52,98.57,-33.04
7815,-45.31,98.57,-33.29
7818,-45.08,82.26,-33.52
7823,-44.86,82.26,-33.75
7824,-44.86,82.26,-33.97
7828,-44.19,63.89,-34.18
7831,-44.63,63.89,-34.39
7834,-44.63,63.89,-34.59
7838,-45.08,45.28,-34.8
7841,-45.98,45.28,-35.02
7844,-45.98,27.83,-35.24
7847,-47.99,27.83,-35.5
7850,-48.88,27.83,-35.77
7854,-48.21,12.43,-36.01
7857,-45.75,12.43,-36.21
7860,-45.75,12.43,-36.4
7863,-46.2,-0.6,-36.6
7867,-45.98,-0.6,-36.78
7870,-45.98,-0.6,-36.97
7873,-45.75,-13.38,-37.14
7876,-48.43,-13.38,-37.37
7880,-48.43,-13.38,-37.59
7883,-52.68,-28.19,-37.89
7887,-56.25,-28.19,-38.26
7890,-56.48,-28.19,-38.62
7893,-57.6,-46.11,-39.0
7896,-57.6,-46.11,-39.37
7900,-58.71,-63.85,-39.76
7903,-58.49,-63.85,-40.14
7906,-58.49,-63.85,-40.5
7910,-57.37,-75.14,-40.84
7913,-56.03,-75.14,-41.14
7916,-56.03,-75.14,-41.44
7920,-54.91,-80.43,-41.71
7923,-54.91,-80.43,-41.98
7926,-54.91,-80.43,-42.23
7930,-54.02,-84.67,-42.47
7933,-52.23,-84.67,-42.67
7936,-52.23,-92.28,-42.86
7940,-49.77,-92.28,-42.99
7943,-50.67,-92.28,-43.15
7947,-50.0,-102.63,-43.29
7950,-48.43,-102.63,-43.39
7953,-46.65,-102.63,-43.45
7957,-46.87,-112.48,-43.52
7960,-44.63,-112.48,-43.54
7964,-43.74,-112.48,-43.55
7967,-44.19,-119.12,-43.56
7970,-44.41,-119.12,-43.58
7974,-45.31,-126.93,-43.61
7977,-44.63,-126.93,-43.63
7981,-44.41,-126.93,-43.65
7984,-44.41,-139.61,-43.66
7988,-44.41,-139.61,-43.68
7991,-45.98,-139.61,-43.72
7994,-48.66,-157.42,-43.82
7998,-48.21,-157.42,-43.91
8001,-48.21,-176.81,-44.0
8005,-47.32,-176.81,-44.06
8008,-47.99,-176.81,-44.14
8012,-47.32,-194.5,-44.21
8015,-47.32,-194.5,-44.27
8018,-47.99,-194.5,-44.34
8022,-48.43,-209.14,-44.42
8026,-48.43,-209.14,-44.5
8029,-48.43,-209.14,-44.58
8032,-49.1,-222.18,-44.67
8036,-50.0,-222.18,-44.78
8039,-50.44,-231.88,-44.89
8042,-49.33,-231.88,-44.98
8046,-47.54,-231.88,-45.03
8049,-47.32,-235.45,-45.08
8053,-44.41,-235.45,-45.06
8056,-41.73,-235.45,-45.0
8060,-41.28,-230.06,-44.92
8063,-37.71,-230.06,-44.78
8066,-35.92,-216.22,-44.6
8070,-36.14,-216.22,-44.43
8073,-33.91,-216.22,-44.22
8077,-31.23,-196.8,-43.96
8080,-31.23,-196.8,-43.71
8084,-28.77,-196.8,-43.41
8087,-26.98,-177.16,-43.08
8090,-26.76,-177.16,-42.75
8094,-25.64,-177.16,-42.41
8097,-26.54,-161.71,-42.09
8101,-25.86,-161.71,-41.77
8104,-24.75,-155.44,-41.43
8108,-25.64,-155.44,-41.11
8111,-25.19,-155.44,-40.8
8114,-24.52,-158.41,-40.47
8118,-24.52,-158.41,-40.15
8122,-24.52,-158.41,-39.84
8125,-25.64,-166.21,-39.55
8128,-27.43,-166.21,-39.31
8132,-27.43,-174.32,-39.07
8135,-28.1,-174.32,-38.85
8138,-28.1,-174.32,-38.64
8142,-27.65,-177.81,-38.42
8145,-26.54,-177.81,-38.18
8149,-24.75,-177.81,-37.91
8152,-24.52,-173.85,-37.65
8155,-22.74,-173.85,-37.35
8159,-21.84,-164.84,-37.04
8162,-21.62,-164.84,-36.73
8166,-20.5,-164.84,-36.4
8169,-19.61,-153.36,-36.07
8173,-19.83,-153.36,-35.74
8176,-17.37,-153.36,-35.38
8179,-15.59,-144.74,-34.98
8183,-15.14,-144.74,-34.58
8186,-14.47,-144.74,-34.18
8190,-13.57,-140.59,-33.77
8193,-14.02,-140.59,-33.37
8197,-13.8,-139.53,-32.98
8201,-12.9,-139.53,-32.58
8203,-13.13,-139.53,-32.19
8207,-13.13,-139.67,-31.81
8210,-14.92,-139.67,-31.47
8214,-14.69,-139.67,-31.14
8218,-15.59,-138.97,-30.83
8222,-14.69,-138.97,-30.5
8225,-14.25,-134.05,-30.18
8227,-13.13,-134.05,-29.84
8231,-12.23,-134.05,-29.49
8236,-11.79,-123.83,-29.13
8238,-10.89,-123.83,-28.77
8241,-10.0,-123.83,-28.39
8246,-10.0,-109.97,-28.02
8248,-9.78,-109.97,-27.66
8251,-7.09,-109.97,-27.25
8262,-7.54,-97.26,-26.85
8262,-7.54,-97.26,-26.47
8263,-7.54,-90.12,-26.09
8270,-8.21,-90.12,-25.73
8271,-8.21,-90.12,-25.38
8271,-8.21,-89.21,-25.04
8276,-7.09,-89.21,-24.68
8277,-6.2,-89.21,-24.31
8280,-6.65,-89.78,-23.96
8283,-6.65,-89.78,-23.61
8287,-6.65,-89.78,-23.27
8290,-4.86,-87.99,-22.9
8294,-5.08,-87.99,-22.55
8296,-5.08,-87.99,-22.2
8300,-5.08,-84.38,-21.85
8304,-5.98,-84.38,-21.54
8306,-5.53,-84.38,-21.22
8309,-5.53,-81.35,-20.9
8312,-5.53,-81.35,-20.6
8317,-3.97,-81.35,-20.26
8319,-3.3,-80.96,-19.92
8322,-3.3,-80.96,-19.59
8325,-2.85,-80.96,-19.26
8329,-1.96,-80.25,-18.91
8332,-1.96,-80.25,-18.57
8335,-1.51,-77.04,-18.23
8338,-1.51,-77.04,-17.9
8341,0.06,-77.04,-17.54
8344,0.28,-73.24,-17.18
8348,0.28,-73.24,-16.83
8351,0.5,-73.24,-16.48
8355,-0.39,-70.48,-16.16
8357,-0.17,-70.48,-15.84
8360,0.95,-70.48,-15.51
8363,0.95,-68.71,-15.18
8366,0.28,-68.71,-14.87
8370,0.28,-68.71,-14.57
8373,0.28,-66.88,-14.27
8376,0.06,-66.88,-13.98
8379,0.06,-66.88,-13.7
8382,0.06,-63.28,-13.43
8385,0.28,-63.28,-13.15
8388,0.28,-63.28,-12.88
8391,-0.61,-58.1,-12.64
8395,-0.61,-58.1,-12.4
8398,-0.39,-58.1,-12.16
8401,0.28,-51.27,-11.91
8404,0.28,-51.27,-11.66
8408,-0.39,-51.27,-11.44
8411,0.28,-43.78,-11.2
8414,0.28,-43.78,-10.98
8417,-0.61,-43.78,-10.77
8420,-0.61,-36.22,-10.56
8423,-0.39,-36.22,-10.36
8427,0.73,-36.22,-10.14
8430,0.73,-28.26,-9.92
8433,2.07,-28.26,-9.68
8436,2.07,-28.26,-9.45
8439,3.18,-19.67,-9.2
8441,3.63,-19.67,-8.94
8445,3.63,-19.67,-8.69
8448,4.52,-11.95,-8.42
8451,4.52,-11.95,-8.16
8454,5.2,-11.95,-7.9
8456,4.75,-7.79,-7.64
8459,4.75,-7.79,-7.4
8463,4.52,-7.79,-7.16
8466,4.52,-7.03,-6.92
8468,4.3,-7.03,-6.7
8471,4.3,-7.03,-6.48
8474,4.75,-8.38,-6.25
8477,3.85,-8.38,-6.05
8479,3.85,-8.38,-5.85
8483,2.96,-10.11,-5.68
8486,2.96,-10.11,-5.51
8489,2.07,-10.11,-5.35
8492,2.07,-11.12,-5.21
8495,1.17,-11.12,-5.08
8498,1.84,-11.12,-4.94
8501,1.84,-11.12,-4.8
8504,2.29,-11.36,-4.66
8506,2.29,-11.36,-4.52
8510,2.51,-11.36,-4.38
8513,2.96,-9.79,-4.24
8516,2.96,-9.79,-4.09
8519,4.3,-9.79,-3.92
8522,4.3,-6.59,-3.76
8525,5.64,-6.59,-3.57
8528,5.64,-6.59,-3.39
8531,6.09,-2.64,-3.2
8534,6.54,-2.64,-3.0
8539,6.54,-2.64,-2.81
8540,6.76,1.68,-2.62
8542,6.76,1.68,-2.43
8545,6.76,1.68,-2.25
8548,6.76,5.4,-2.07
8551,6.09,5.4,-1.91
8554,6.09,5.4,-1.75
8556,6.09,5.4,-1.59
8559,6.09,6.97,-1.44
8562,5.64,6.97,-1.29
8565,4.52,6.97,-1.18
8568,4.52,6.16,-1.06
8571,3.63,6.16,-0.97
8573,3.63,6.16,-0.88
8576,3.18,3.28,-0.8
8579,3.18,3.28,-0.72
8582,4.3,3.28,-0.62
8585,3.41,-0.05,-0.54
8588,3.41,-0.05,-0.46
8591,3.41,-0.05,-0.38
8593,3.41,-0.05,-0.3
8596,3.63,-2.25,-0.23
8599,3.63,-2.25,-0.15
8602,4.08,-2.25,-0.06
8606,4.08,-2.2,0.02
8608,3.41,-2.2,0.09
8610,4.08,-2.2,0.17
8613,4.08,0.25,0.25
8616,3.41,0.25,0.31
8619,3.41,0.25,0.37
8621,3.85,3.39,0.44
8624,3.85,3.39,0.51
8627,3.63,3.39,0.57
8630,3.63,3.39,0.63
8633,4.3,7.14,0.71
8635,4.3,7.14,0.78
8638,4.75,7.14,0.86
8641,4.75,11.26,0.93
8643,4.3,11.26,1.0
8647,4.3,11.26,1.07
8649,4.52,14.03,1.14
8652,4.75,14.03,1.21
8655,4.75,14.03,1.28
8658,3.85,14.03,1.33
8661,3.85,14.39,1.38
8664,4.08,14.39,1.44
8666,4.08,14.39,1.49
8669,3.18,11.88,1.52
8672,2.29,11.88,1.54
8675,2.74,11.88,1.56
8678,2.96,7.11,1.59
8680,2.96,7.11,1.62
8683,3.41,7.11,1.65
8686,3.41,7.11,1.69
8689,3.18,1.94,1.72
8692,3.18,1.94,1.75
8694,2.29,1.94,1.76
8697,2.29,-1.58,1.77
8700,2.51,-1.58,1.78
8704,2.51,-1.58,1.8
8705,2.29,-3.81,1.81
8708,0.95,-3.81,1.79
8711,0.95,-3.81,1.77
8714,1.17,-3.81,1.76
8716,1.17,-4.4,1.75
8719,1.17,-4.4,1.74
8723,1.17,-4.4,1.73
8725,1.4,-3.29,1.72
8728,1.4,-3.29,1.71
8731,2.07,-3.29,1.72
8733,2.07,0.27,1.73
8736,2.29,0.27,1.74
8739,2.29,0.27,1.75
8741,2.29,4.92,1.76
8744,2.96,4.92,1.79
8747,2.96,4.92,1.81
8750,3.18,4.92,1.84
8752,3.18,9.13,1.86
8756,3.18,9.13,1.89
8758,3.18,9.13,1.92
8761,3.41,11.6,1.95
8764,3.41,11.6,1.97
8767,2.74,11.6,1.99
8770,2.74,12.57,2.01
8772,2.74,12.57,2.02
8775,2.51,12.57,2.03
8778,2.51,12.57,2.04
8781,2.29,12.0,2.04
8784,2.29,12.0,2.05
8786,2.29,12.0,2.05
8789,2.29,9.62,2.06
8792,2.07,9.62,2.06
8794,2.07,9.62,2.06
8798,2.74,6.19,2.07
8800,3.41,6.19,2.1
8803,3.41,6.19,2.13
8806,2.74,6.19,2.14
8809,2.74,3.25,2.15
8811,2.29,3.25,2.15
8814,2.29,3.25,2.16
8816,2.29,1.04,2.16
8820,2.29,1.04,2.16
8823,2.51,1.04,2.17
8826,2.51,-0.66,2.17
8828,0.95,-0.66,2.15
8830,0.95,-0.66,2.13
8835,1.4,-0.66,2.11
8838,1.4,-1.34,2.1
8839,1.4,-1.34,2.08
8842,1.4,-1.34,2.07
8845,1.4,-0.84,2.06
8848,1.4,-0.84,2.04
8850,1.4,-0.84,2.03
8853,2.51,1.71,2.04
8856,2.51,1.71,2.05
8859,2.74,1.71,2.06
8861,2.74,1.71,2.08
8864,3.85,5.77,2.11
8866,2.96,5.77,2.13
8869,3.63,5.77,2.16
8873,4.08,9.41,2.2
8875,4.08,9.41,2.23
8877,4.52,9.41,2.28
8880,4.52,10.06,2.33
8883,4.3,10.06,2.37
8886,4.3,10.06,2.4
8889,4.75,10.06,2.45
8892,4.75,6.61,2.5
8895,3.85,6.61,2.52
8897,2.96,6.61,2.53
8900,2.96,0.32,2.54
8903,2.74,0.32,2.55
8906,2.74,0.32,2.55
8909,2.96,-7.13,2.56
8912,2.96,-7.13,2.57
8914,2.51,-7.13,2.56
8917,2.51,-7.13,2.56
8920,2.74,-14.32,2.57
8923,2.74,-14.32,2.57
8925,2.29,-14.32,2.56
8929,3.41,-20.0,2.58
8932,3.41,-20.0,2.6
8934,3.41,-20.0,2.61
8937,3.41,-24.46,2.63
8940,3.18,-24.46,2.64
8944,3.18,-24.46,2.65
8946,3.18,-28.23,2.66
8949,3.18,-28.23,2.67
8953,3.18,-28.23,2.68
8956,2.96,-31.75,2.69
8959,2.96,-31.75,2.69
8961,2.07,-31.75,2.68
8964,2.07,-33.99,2.67
8967,2.96,-35.64,2.68
8969,3.18,-35.64,2.69
8973,3.18,-35.64,2.7
8976,5.42,-40.38,2.75
8978,5.42,-40.38,2.8
8981,6.54,-40.38,2.88
8984,6.54,-46.38,2.95
8988,6.31,-46.38,3.02
8991,7.21,-46.38,3.1
8993,7.21,-53.54,3.18
8996,8.99,-53.54,3.3
8999,8.99,-53.54,3.41
9002,10.11,-61.5,3.55
9006,10.11,-61.5,3.68
9008,9.89,-61.5,3.8
9011,8.55,-71.57,3.9
9014,8.55,-71.57,3.99
9017,5.2,-71.57,4.02
9020,5.2,-84.64,4.04
9023,4.3,-84.64,4.04
9026,4.3,-84.64,4.05
9028,5.2,-99.43,4.07
9031,6.76,-99.43,4.13
9035,6.76,-99.43,4.18
9037,6.09,-99.43,4.22
9041,6.09,-109.79,4.25
9043,7.21,-109.79,4.31
9046,8.99,-109.79,4.41
9049,8.77,-113.38,4.49
9052,9.44,-113.38,4.59
9057,9.44,-113.38,4.69
9059,11.01,-111.33,4.82
9062,12.79,-111.33,4.98
9065,13.02,-111.33,5.14
9068,13.91,-108.16,5.31
9071,13.91,-108.16,5.48
9075,14.8,-108.16,5.67
9077,15.7,-107.07,5.87
9081,15.7,-107.07,6.07
9084,16.14,-107.07,6.27
9087,16.14,-108.66,6.47
9091,16.59,-108.66,6.67
9093,17.26,-108.66,6.88
9096,17.26,-113.37,7.09
9099,17.49,-113.37,7.3
9104,17.49,-113.37,7.5
9106,19.27,-121.53,7.74
9109,20.61,-121.53,7.99
9112,20.61,-132.73,8.25
9115,23.07,-132.26,8.54
9119,23.97,-132.26,8.85
9123,24.19,-142.95,9.16
9125,25.53,-142.95,9.49
9128,25.53,-142.95,9.81
9131,25.31,-152.0,10.12
9134,24.64,-152.0,10.41
9138,24.64,-152.0,10.69
9141,24.19,-160.02,10.96
9144,24.19,-160.02,11.23
9147,24.41,-160.02,11.49
9150,23.74,-166.24,11.73
9155,23.74,-166.24,11.97
9157,23.74,-166.24,12.21
9160,23.74,-169.99,12.44
9163,23.74,-169.99,12.67
9167,25.53,-169.99,12.92
9170,26.42,-170.61,13.19
9175,26.2,-170.61,13.45
9176,25.53,-170.61,13.7
9180,25.53,-167.24,13.93
9183,26.2,-167.24,14.18
9189,29.33,-167.24,14.48
9190,29.33,-160.3,14.78
9193,30.45,-160.3,15.09
9196,33.57,-151.78,15.46
9199,33.57,-151.78,15.82
9202,35.36,-151.78,16.21
9206,35.36,-145.28,16.6
9209,33.57,-145.28,16.94
9212,36.03,-145.28,17.32
9215,36.03,-142.95,17.69
9219,38.94,-142.95,18.12
9222,39.38,-142.95,18.54
9226,39.38,-145.01,18.96
9228,39.38,-145.01,19.37
9232,38.49,-145.01,19.75
9235,38.49,-150.72,20.12
9239,38.71,-150.72,20.5
9241,38.71,-150.72,20.86
9245,41.62,-159.2,21.28
9248,43.18,-159.2,21.71
9251,43.18,-168.25,22.14
9255,43.63,-168.25,22.57
9258,45.64,-168.25,23.03
9261,45.64,-175.37,23.49
9264,44.75,-175.37,23.91
9268,44.75,-175.37,24.33
9271,44.08,-181.1,24.72
9274,42.74,-181.1,25.08
9277,42.74,-181.1,25.44
9280,41.39,-185.75,25.76
9284,41.84,-185.75,26.08
9288,41.84,-185.75,26.39
9291,42.07,-186.48,26.71
9293,41.17,-186.48,27.0
9297,40.72,-186.48,27.27
9300,41.39,-182.05,27.55
9305,41.39,-182.05,27.83
9307,42.96,-182.05,28.13
9310,44.08,-170.52,28.45
9313,44.08,-170.52,28.76
9316,45.19,-152.45,29.09
9319,46.31,-152.45,29.44
9323,46.31,-152.45,29.77
9326,46.53,-132.75,30.11
9329,48.32,-132.75,30.47
9332,47.65,-132.75,30.82
9336,48.99,-115.61,31.18
9339,48.99,-115.61,31.54
9342,50.33,-115.61,31.91
9345,50.11,-103.09,32.28
9349,50.11,-103.09,32.63
9352,49.44,-103.09,32.97
9355,49.66,-95.36,33.3
9358,49.66,-95.36,33.63
9361,48.55,-95.36,33.93
9365,48.55,-91.37,34.22
9368,48.32,-91.37,34.5
9371,50.33,-91.37,34.82
9374,50.33,-90.92,35.13
9377,51.67,-90.92,35.46
9380,51.67,-90.92,35.79
9383,51.0,-92.14,36.09
9387,51.67,-92.14,36.4
9390,51.67,-92.14,36.71
9393,51.67,-92.41,37.01
9396,51.67,-92.41,37.3
9399,51.67,-92.41,37.59
9402,51.0,-92.92,37.86
9406,51.0,-92.92,38.12
9409,50.33,-94.45,38.36
9412,50.11,-94.45,38.6
9415,50.11,-94.45,38.83
9418,50.56,-96.21,39.06
9421,50.56,-96.21,39.29
9424,50.11,-96.21,39.51
9428,49.89,-93.97,39.72
9431,49.89,-93.97,39.92
9434,49.66,-93.97,40.11
9437,49.66,-86.03,40.31
9440,49.44,-86.03,40.49
9443,49.66,-86.03,40.67
9446,49.66,-71.58,40.85
9450,49.44,-71.58,41.02
9453,48.1,-71.58,41.16
9457,48.1,-51.55,41.3
9459,46.98,-51.55,41.42
9462,46.98,-51.55,41.53
9465,46.09,-27.25,41.62
9469,45.64,-27.25,41.7
9472,45.64,-27.25,41.78
9475,47.43,0.81,41.89
9478,47.43,0.81,42.0
9481,48.77,0.81,42.14
9484,49.89,31.26,42.29
9487,49.89,31.26,42.44
9490,49.66,31.26,42.59
9493,49.66,62.94,42.73
9496,49.66,62.94,42.87
9499,52.57,62.94,43.06
9502,52.57,96.13,43.25
9505,56.14,96.13,43.51
9508,56.14,96.13,43.76
9511,53.68,129.77,43.96
9514,50.56,129.77,44.09
9518,50.56,129.77,44.22
9521,49.66,164.59,44.33
9524,49.66,164.59,44.44
9527,50.56,164.59,44.56
9530,49.66,198.0,44.66
9533,49.66,198.0,44.76
9537,48.32,198.0,44.83
9540,50.11,226.13,44.94
9543,49.66,226.13,45.03
9546,48.55,226.13,45.1
9549,48.55,246.91,45.17
9552,46.76,246.91,45.2
9557,42.74,246.91,45.16
9559,42.74,258.34,45.11
9562,38.04,258.34,44.97
